GT,"GT Marża",PLU,Nazwa,VAT,"Cena Sprzedaży","Cena Zakupu",Pamp,"Cena PPMI","Cena PPMO","Średnia Cena Konkurencja","Status Ceny"
101110501,12,5201360531141,"CHIPI 7DAYS ROGAL 110G KAK WANI",5,3.49,2.75,2.75,3.99,"BRAK DANYCH",3.99,"Cena OK"
101110501,12,5201360535828,"CHIPI 7DAYS ROGAL 110G WAN TRU",5,3.99,2.97,2.79,"BRAK DANYCH",3.99,4.07,"Cena OK"
101110501,12,5201360535705,"CHIPI 7DAYS ROGAL 110G MAX WANI",5,4.19,2.75,2.75,"BRAK DANYCH",3.98,4.37,"Cena OK"
101110501,12,5201360532506,"CHIPI 7DAYS ROGAL 110G WAN WISN",5,3.49,2.75,2.75,3.99,"BRAK DANYCH",4.09,"Cena OK"
101110501,12,5201360535903,"CHIPI 7DAYS ROGAL 110G KAK KOKO",5,3.49,2.97,2.97,3.98,"BRAK DANYCH",4.24,"Cena OK"
101110501,12,5201360531172,"CHIPI 7DAYS ROGAL 110G MAX KAKA",5,3.49,2.95,2.95,3.39,"BRAK DANYCH",4.10,"Cena za wysoka"
101030201,12,8000070020580,"Lavazza Qualita Oro MP 250g",23,20.99,15.39,15.36,25.97,"BRAK DANYCH",27.66,"Cena OK"
101030201,12,8000070019911,"Lavazza Qualita Oro M 250g",23,21.99,12.78,11.99,21.99,"BRAK DANYCH",20.17,"Cena OK"
101040102,12,9312631142167,"Herbata Dilmah arom. Mango i Trusk. 20x1,5g t.",23,8.29,5.34,5.46,9.59,"BRAK DANYCH",8.94,"Cena OK"
101040502,12,5900956002309,"HERBAPOL HERBATKA ZIOLOWA MIETA 20 X 2G",5,3.89,3.37,3.37,3.95,"BRAK DANYCH",3.95,"Cena OK"
101040102,12,9312631122589,"Herbata Dilmah Ceylon Gold 50x2g",23,15.99,11.31,11.31,17.99,"BRAK DANYCH",13.45,"Cena OK"
101020404,12,5900085001235,"WINIARY Kwasek Cytrynowy 50g",23,3.29,2.25,2.25,"BRAK DANYCH",3.99,"BRAK DANYCH","Cena za niska"
101020490,12,5900437013008,"Dodatek ulepszajacy do sernika Sernix 60g",5,2.29,1.88,1.88,1.99,"BRAK DANYCH",2.04,"Cena za wysoka"
101040301,12,5905548350028,"BIG ACTIVE HERBATA CZERWONA PU-ERH CYTRYNA 100G",23,8.49,6.07,6.07,8.99,"BRAK DANYCH",8.30,"Cena OK"
101030301,12,8000070020511,"Lavazza Qualita Oro Z 250g",23,20.49,14.88,14.19,20.99,"BRAK DANYCH",19.42,"Cena OK"
101040402,12,5900956000688,"HERBAPOL HERBACIANY OGROD HERBATKA OWOCOWA PROSTO Z LASU 50G 20 x 2,5",8,4.99,4.35,4.23,4.99,"BRAK DANYCH",5.49,"Cena OK"
101040502,12,5900956002316,"HERBAPOL HERBATKA ZIOLOWA RUMIANEK 20 X 1,5G",5,3.59,3.37,3.37,3.95,"BRAK DANYCH",4.12,"Cena OK"
101040802,12,5900956003153,"HERBAPOL HERBATKA FUNKCJONALNA SPALANIE 20 X 2G",8,6.99,5.65,5.65,7.99,"BRAK DANYCH",8.14,"Cena OK"
102120101,12,7613037552768,"GOURMET PERLE ind, kcz, tncz, jagn 4x85g",8,13.49,10.99,11.04,12.99,"BRAK DANYCH",11.99,"Cena za wysoka"
101040502,12,5900956002323,"HERBAPOL HERBATKA ZIOLOWA MELISA 20 X 2G",5,3.99,3.37,3.37,3.95,"BRAK DANYCH",3.97,"Cena za wysoka"
101030401,12,7613033174704,"NESCAFE DOLCE GUSTO Cafe Au Lait 16Cap 3",23,23.99,16.50,16.50,23.99,"BRAK DANYCH",23.99,"Cena OK"
101040101,12,9312631123265,"Herbata Dilmah Orange Pekoe lisc 100g",23,9.89,7.05,7.05,9.59,"BRAK DANYCH",9.91,"Cena za wysoka"
101040402,12,5900956005683,"HERBAPOL HERBACIANY OGROD HERBATKA OWOCOWA CZARNA PORZECZKA 54G 20 x ",8,4.99,4.07,4.11,5.99,"BRAK DANYCH",5.42,"Cena OK"
101040402,12,5900956004556,"HERBAPOL HERBACIANY OGROD HERBATKA OWOCOWA ZURAWINA 50G 20 x 2,5G",8,6.39,5.16,5.16,5.99,"BRAK DANYCH",5.99,"Cena za wysoka"
101020603,12,5900437002415,"Sos czekoladowy 200g",23,8.89,4.59,6.34,6.49,"BRAK DANYCH",6.54,"Cena za wysoka"
101040402,12,5900956005690,"HERBAPOL HERBACIANY OGROD HERBATKA OWOCOWA MALINA Z PIGWA 54G 20 x 2",8,4.99,4.07,4.08,4.99,"BRAK DANYCH",5.56,"Cena OK"
101040402,12,5900956000640,"HERBAPOL HERBACIANY OGROD HERBATKA OWOCOWA DZIKA ROZA 70G 20 x 3,5G",8,4.99,4.07,4.08,4.99,"BRAK DANYCH",5.55,"Cena OK"
101040402,12,5900956000633,"HERBAPOL HERBACIANY OGROD HERBATKA OWOCOWA MALINA 54G 20 x 2,7G",8,4.99,4.35,4.16,4.99,"BRAK DANYCH",5.59,"Cena OK"
101030201,12,5900839856036,"FAMILY CLASSIC 20x100g mielona",23,5.99,3.39,3.48,6.49,"BRAK DANYCH",5.99,"Cena OK"
101030801,12,5901154040018,"kawa zbozowa INKA KARTONIK 150 g",8,5.49,3.97,4.01,5.49,"BRAK DANYCH",5.59,"Cena OK"
101030801,12,5901154042746,"kawa INKA KARMELOWA 200 g",8,9.89,8.27,8.05,8.49,"BRAK DANYCH",8.49,"Cena za wysoka"
101023001,12,5900910003120,"Cremona smietankowa classic",8,11.99,10.27,10.01,11.49,"BRAK DANYCH",10.82,"Cena za wysoka"
101040402,12,5901086000531,"Herbata owocowa Forest Fruits20 t",8,5.99,5.67,5.33,5.49,"BRAK DANYCH",4.80,"Cena za wysoka"
101040402,12,5901086001019,"Herbata czarna Black Currant20 t",8,6.29,5.14,5.14,5.49,"BRAK DANYCH",4.37,"Cena za wysoka"
101040402,12,5901086001040,"Herbata owocowa Fresh Orange20 t",8,6.29,5.30,5.30,5.49,"BRAK DANYCH",4.64,"Cena za wysoka"
101040402,12,5901086001163,"Herbata owocowa Strawberry Sunrise20 t",8,5.99,5.16,5.16,5.49,"BRAK DANYCH",5.19,"Cena za wysoka"
101020701,12,5900437013800,"Krem do Karpatki klasyczny 240g",5,4.79,3.80,4.32,4.99,"BRAK DANYCH",4.69,"Cena OK"
101020701,12,5900437013305,"Krem do tortow czekoladowy 140g",23,6.79,4.84,4.84,4.99,"BRAK DANYCH",5.23,"Cena za wysoka"
101020702,12,5900437015507,"Bita smietana 60g",8,2.99,2.40,2.30,2.29,"BRAK DANYCH",2.34,"Cena za wysoka"
101020401,12,5900437011110,"Drozdze instant 7g",23,1.69,0.99,1.21,1.69,"BRAK DANYCH",1.72,"Cena OK"
101040402,12,5901086001262,"Herbata owocowa Sweet Cherry20 t",8,6.29,5.67,5.36,5.49,"BRAK DANYCH",4.72,"Cena za wysoka"
101040402,12,5900956003634,"HERBAPOL HERBACIANY OGROD HERBATKA OWOCOWA MALINA Z ZURAWINA 54G 20",8,4.99,4.07,3.94,4.99,"BRAK DANYCH",5.55,"Cena OK"
101040402,12,5900396016164,"LOYD MALINA TRUSKAWKA 20x2g10",8,5.49,4.21,4.24,5.19,"BRAK DANYCH",5.71,"Cena za wysoka"
101040402,12,5900396017277,"LOYD ANANAS GRUSZKA 20x2g10",8,5.49,4.45,4.27,5.19,"BRAK DANYCH",5.44,"Cena za wysoka"
101030201,12,5900788440768,"KAWA MIEL. MK PREMIUM 12X500G VACAUT",23,27.49,19.48,19.51,29.99,"BRAK DANYCH",29.99,"Cena OK"
101020603,12,5900437002439,"Sos truskawkowy 200g",8,7.79,4.59,6.30,6.49,"BRAK DANYCH",6.54,"Cena za wysoka"
101030801,12,7613034705754,"NESCORE KAWA 260G ROZPUSZCZALNA",23,30.99,21.34,21.34,"BRAK DANYCH",33.99,30.82,"Cena za niska"
101030801,12,5901154042890,"kawa zbozowa INKA CZEKOLADOWA 200 g",23,11.49,8.05,7.75,8.49,"BRAK DANYCH",8.57,"Cena za wysoka"
101030801,12,5901154041749,"kawa zbozowa INKA MAGNE 100 g",8,10.99,8.40,7.96,9.59,"BRAK DANYCH",9.59,"Cena za wysoka"
101040401,12,5901483080709,"Bi fix DZIKA ROZA Napar owocowy",8,7.69,5.99,5.99,5.79,"BRAK DANYCH",5.79,"Cena za wysoka"
